state,location,year,plot,n_rate_fall,n_rate_spring,n_soil_base,tiller_eff_30,biomass_30,ndvi_30,shoot_n_kg_ha_30,n_eff_30,shoot_c_kg_ha_30,cn_ratio_30,biomass_60,shoot_n_60,shoot_n_kg_ha_60,shoot_c_60,shoot_c_kg_ha_60,cn_ratio_60
MD,Beltsville,2011,101,0,0,115.8,2.537,2510.226,0.626,49.753,0.43,1071.113,21.529,5706.037,1.387,79.143,42.95,2450.743,30.966
MD,Beltsville,2011,102,0,30,115.8,2.779,2945.102,0.699,70.83,0.486,1248.429,17.626,3840.77,1.013,38.907,42.339,1626.144,41.796
MD,Beltsville,2011,103,0,60,115.8,2.447,3117.33,0.737,80.427,0.457,1313.643,16.333,6703.412,1.089,73,42.213,2829.711,38.763
MD,Beltsville,2011,104,60,60,115.8,2.703,4150.7,0.746,124.812,0.529,1761.142,14.11,6276.465,1.091,68.476,42.359,2658.648,38.826
MD,Beltsville,2011,105,60,30,115.8,2.032,4370.291,0.746,100.866,0.49,1890.588,18.744,4985.127,1.416,70.589,42.214,2104.422,29.812
MD,Beltsville,2011,106,60,0,115.8,2.813,4637.244,0.754,81.523,0.464,1964.337,24.096,9065.617,1.055,95.642,42.269,3831.946,40.065
MD,Beltsville,2011,107,150,30,115.8,2.426,5046.286,0.726,130.446,0.441,2181.509,16.723,8565.179,1.297,111.09,42.039,3600.716,32.412
MD,Beltsville,2011,108,150,0,115.8,1.949,4327.234,0.765,92.127,0.347,1863.74,20.23,8428.696,1.273,107.297,43.086,3631.588,33.846
MD,Beltsville,2011,109,150,60,115.8,2.627,4998.924,0.801,123.024,0.378,2159.035,17.55,4269.466,1.408,60.114,41.878,1787.967,29.743
MD,Beltsville,2011,110,30,0,115.8,1.334,1980.624,0.579,29.927,0.205,839.388,28.048,8227.472,0.883,72.649,42.898,3529.421,48.582
MD,Beltsville,2011,111,30,60,115.8,1.348,3074.273,0.698,63.914,0.311,1312.715,20.539,6915.136,1.035,71.572,42.905,2966.939,41.454
MD,Beltsville,2011,112,30,30,115.8,2.648,3758.881,0.687,71.532,0.407,1619.326,22.638,4675.416,1.016,47.502,43.158,2017.816,42.478
MD,Beltsville,2011,113,90,30,115.8,3.664,5080.732,0.699,92.266,0.391,2181.158,23.64,3648.294,0.992,36.191,42.97,1567.672,43.317
MD,Beltsville,2011,114,90,60,115.8,2.855,4749.193,0.74,123.479,0.465,2023.156,16.385,5707.787,1.171,66.838,42.765,2440.935,36.52
MD,Beltsville,2011,115,90,0,115.8,2.122,4236.814,0.707,78.212,0.38,1818.017,23.245,5186.352,0.979,50.774,42.638,2211.357,43.553
MD,Beltsville,2011,201,150,30,115.8,3.131,4439.182,0.75,89.272,0.302,1911.068,21.407,7515.311,1.208,90.785,42.705,3209.414,35.352
MD,Beltsville,2011,202,150,60,115.8,3.401,4736.276,0.774,124.848,0.383,2030.915,16.267,5377.078,1.761,94.69,42.568,2288.915,24.173
MD,Beltsville,2011,203,150,0,115.8,3.615,4551.13,0.721,100.944,0.38,1961.992,19.436,9452.318,1.19,112.483,42.99,4063.552,36.126
MD,Beltsville,2011,204,30,60,115.8,2.565,2699.677,0.661,54.075,0.263,1158.431,21.423,6167.979,0.95,58.596,42.886,2645.199,45.143
MD,Beltsville,2011,205,30,0,115.8,2.364,2626.48,0.569,40.527,0.278,1119.143,27.615,7830.271,0.747,58.492,42.767,3348.772,57.252
